Family_ICTV	host_ICTV	size_kb_ICTV	topology_ICTV	host_ICTV_simple
Pseudoviridae	protists, fungi, plants, invertebrates	4.6-21.9	2 identical linear segments	non-vertebrates
Pungoviridae	archaea	37.0-37.1	1 linear segment	archaea
Pyrstoviridae	archaea	40.4-42.3	1 linear segment	archaea
Qinviridae	invertebrates	7.3-8.3	2 linear segments	invertebrates
Quadriviridae	fungi	16.8-17.6	4 linear segments	fungi
Quambiviridae	fungi	4.5-5.2	1 circular segment	fungi
Quasboviridae	archaea	32.1-32.2	1 linear segment	archaea
Redondoviridae	vertebrates	3.0-3.1	1 circular segment	vertebrates
Retroviridae	vertebrates	2.4-13.3	2 identical linear segments	vertebrates
Rhabdoviridae	plants, invertebrates, vertebrates	9.4-16.7	1-2 linear segments	incl-vertebrates
Rhizouliviridae	fungi	3.2-5.3	1 linear segment	fungi
Rhodogtaviriformidae	bacteria	uncertain	multisegmented	bacteria
Roniviridae	invertebrates	26.2-29.2	1 linear segment	invertebrates
Rountreeviridae	bacteria	16.6-18.9	1 linear segment	bacteria
Rudiviridae	archaea	20.2-36.5	1 linear segment	archaea
Ruviroviridae	protists	26.2-26.3	1 linear segment	protists
Saffermanviridae	bacteria	39.7-44.9	1 linear segment	bacteria
Saladoviridae	archaea	30.8-34.1	1 linear segment	archaea
Salasmaviridae	bacteria	17.7-29.0	1 linear segment	bacteria
Saparoviridae	archaea	52.6-54.3	1 linear segment	archaea
Sarkviridae	bacteria	39.7-44.9	1 linear segment	bacteria
Sarthroviridae	invertebrates	0.7-0.9	1 linear segment	invertebrates
Satyavativiridae	archaea	86.9-87.0	1 linear segment	archaea
Schitoviridae	bacteria	59.0-79.7	1 linear segment	bacteria
Schizomimiviridae	protists	370.9-1421.2	1 linear segment	protists
Seadebiviridae	archaea	47.4-77.9	1 linear segment	archaea
Secoviridae	plants	8.8-15.5	1-2 linear segments	plants
Sedoreoviridae	protists, plants, invertebrates, vertebrates	17.8-25.8	10-12 linear segments	incl-vertebrates
Shortaselviridae	archaea	32.1-32.2	1 linear segment	archaea
Simuloviridae	archaea	16.4-19.0	1 circular segment	archaea
Sinhaliviridae	invertebrates	5.9-6.0	1 linear segment	invertebrates
Skuldviridae	archaea	11.2-11.5	1 segment	archaea
Smacoviridae	predicted archaea	2.2-3.1	1 circular segment	archaea
Soleiviridae	archaea	63.3-63.4	1 linear segment	archaea
Solemoviridae	plants	3.6-6.4	1 linear segment	plants
Solinviviridae	invertebrates	10.4-11.0	1 linear segment	invertebrates
Solspiviridae	bacteria	3.4-5.9	1 linear segment	bacteria
Soropartitiviridae	bacteria	3.3-3.4	2 linear segments	bacteria
Speroviridae	archaea	42.4-42.5	1 segment	archaea
Sphaerolipoviridae	archaea	28.0-31.4	1 linear segment	archaea
Spiciviridae	plants, invertebrates	6.1-8.8	1 linear segment	non-vertebrates
Spinareoviridae	fungi, plants, invertebrates, vertebrates	22.4-29.4	9-12 linear segments	incl-vertebrates
Spiraviridae	archaea	24.8-24.9	1 circular segment	archaea
Splipalmiviridae	fungi	4.0-7.0	2-4 linear segments	fungi
Sputniviroviridae	protists	17.2-18.4	1 circular segment	protists
Stackebrandtviridae	bacteria	55.0-61.3	1 linear segment	bacteria
Stanwilliamsviridae	bacteria	125.7-135.7	1 linear segment	bacteria
Steigviridae	bacteria	93.5-104.6	1 linear segment	bacteria
Steitzviridae	bacteria	3.2-5.2	1 linear segment	bacteria
Straboviridae	bacteria	121.4-248.1	1 linear segment	bacteria
Sukshmaviridae	bacteria	4.4-5.5	1 circular segment	bacteria
Sunviridae	vertebrates	17.1-17.2	1 linear segment	vertebrates
Suolaviridae	archaea	35.2-35.3	1 linear segment	archaea
Suoliviridae	bacteria	92.6-104.8	1 segment	bacteria
Tainaviridae	bacteria	5.5-6.7	1 circular segment	bacteria
Tectiviridae	bacteria	14.3-18.3	1 linear segment	bacteria
Tenebraviridae	archaea	43.0-43.1	1 linear segment	archaea
Thalassapleoviridae	archaea	13.3-18.0	1 circular segment	archaea
Thaspiviridae	archaea	27.5-29.0	1 linear segment	archaea
Tinaiviridae	bacteria	151.3-151.4	1 linear segment	bacteria
Tobaliviridae	fungi	9.5-11.5	1 linear segment	fungi
Tobaniviridae	vertebrates	20.2-36.2	1 linear segment	vertebrates
Togaviridae	invertebrates, vertebrates	11.2-12.1	1 linear segment	incl-vertebrates
Tolecusatellitidae	plants	0.6-1.4	1 circular segment	plants
Tombusviridae	plants	3.6-6.1	1-2 linear segments	plants
Tomosaviridae	plants	1.0-1.1	1 linear segment	plants
Tonesaviridae	plants	1.1-1.3	1 linear segment	plants
Tosoviridae	vertebrates	12.3-12.4	2 linear segments	vertebrates
Tospoviridae	plants, invertebrates	12.8-17.4	3 linear segments	non-vertebrates
Toyamaviridae	bacteria	62.1-68.0	1 linear segment	bacteria
Trautnerviridae	bacteria	42.8-46.3	1 linear segment	bacteria
Trimbiviridae	fungi	4.4-5.0	1 circular segment	fungi
Tripviridae	bacteria	192.0-192.1	1 linear segment	bacteria
Tristromaviridae	archaea	17.6-17.8	1 linear segment	archaea
Tulasviridae	fungi	12.1-14.3	1 linear segment	fungi
Turriviridae	archaea	16.6-17.7	1 circular segment	archaea
Tymoviridae	plants, invertebrates	6.0-7.6	1 linear segment	non-vertebrates
Umezonoviridae	bacteria	28.7-31.8	1 linear segment	bacteria
Unambiviridae	fungi	4.3-4.9	1 circular segment	fungi
Ungulaviridae	archaea	20.8-20.9	1 linear segment	archaea
Usuviridae	archaea	37.0-38.9	1 linear segment	archaea
Vandenendeviridae	bacteria	84.5-101.6	1 linear segment	bacteria
Verdandiviridae	archaea	19.5-20.5	1 segment	archaea
Vertoviridae	archaea	55.1-58.5	1 linear segment	archaea
Vilmaviridae	bacteria	68.0-84.4	1 linear segment	bacteria
Vilyaviridae	protists	1.9-2.4	1 circular segment	protists
Virgaviridae	plants	6.2-12.4	1-3 linear segments	plants
Winoviridae	bacteria	34.7-39.7	1 linear segment	bacteria
Wupedeviridae	invertebrates	20.4-20.5	3 linear segments	invertebrates
Xigoviridae	archaea	9.0-9.1	1 segment	archaea
Xinmoviridae	invertebrates	9.6-15.7	1 linear segment	invertebrates
Yadokariviridae	fungi	2.8-6.4	1 linear segment	fungi
Yadonushiviridae	fungi	8.9-9.0	1 linear segment	fungi
Yamazakiviridae	archaea	38.0-38.1	1 circular segment	archaea
Yangangviridae	archaea	36.6-38.3	1 segment	archaea
Yanlukaviridae	archaea	35.8-35.9	1 segment	archaea
Yaraviridae	protists	44.9-45.0	1 linear segment	protists
Yueviridae	invertebrates	7.7-8.2	2 linear segments	invertebrates
Zierdtviridae	bacteria	64.1-70.6	1 linear segment	bacteria
Zimmerviridae	bacteria	41.9-50.2	1 linear segment	bacteria
Zobellviridae	bacteria	38.8-49.7	1 linear segment	bacteria
